Player Name Position,Transfer Value,Transfer Date
branislav ivanovic Defender - Centre-Back,360000,21/02/2006
branislav ivanovic Defender - Centre-Back,3060000,29/03/2007
branislav ivanovic Defender - Centre-Back,4950000,23/08/2007
branislav ivanovic Defender - Centre-Back,10800000,03/01/2008
branislav ivanovic Defender - Centre-Back,6750000,04/07/2008
branislav ivanovic Defender - Centre-Back,7650000,29/06/2009
branislav ivanovic Defender - Centre-Back,14400000,25/01/2010
branislav ivanovic Defender - Centre-Back,16200000,13/08/2010
branislav ivanovic Defender - Centre-Back,18900000,01/02/2011
branislav ivanovic Defender - Centre-Back,20700000,08/08/2011
branislav ivanovic Defender - Centre-Back,16200000,06/02/2012
branislav ivanovic Defender - Centre-Back,18900000,24/06/2012
branislav ivanovic Defender - Centre-Back,21600000,28/01/2013
branislav ivanovic Defender - Centre-Back,19800000,02/07/2013
branislav ivanovic Defender - Centre-Back,17100000,15/01/2014
branislav ivanovic Defender - Centre-Back,15300000,12/08/2014
branislav ivanovic Defender - Centre-Back,15300000,12/02/2015
branislav ivanovic Defender - Centre-Back,15300000,01/07/2015
branislav ivanovic Defender - Centre-Back,9900000,09/02/2016
branislav ivanovic Defender - Centre-Back,9000000,01/08/2016
branislav ivanovic Defender - Centre-Back,6300000,05/02/2017
branislav ivanovic Defender - Centre-Back,4500000,01/06/2017
branislav ivanovic Defender - Centre-Back,3600000,23/12/2017
branislav ivanovic Defender - Centre-Back,2700000,06/06/2018
branislav ivanovic Defender - Centre-Back,2250000,20/12/2018
branislav ivanovic Defender - Centre-Back,1800000,14/06/2019
branislav ivanovic Defender - Centre-Back,1350000,23/12/2019
branislav ivanovic Defender - Centre-Back,1080000,08/04/2020
branislav ivanovic Defender - Centre-Back,900000,29/07/2020
branislav ivanovic Defender - Centre-Back,900000,13/10/2020
alex Defender - Centre-Back,4950000,04/10/2004
alex Defender - Centre-Back,6750000,27/04/2005
alex Defender - Centre-Back,9000000,29/01/2007
alex Defender - Centre-Back,10350000,04/02/2008
alex Defender - Centre-Back,9450000,23/02/2009
alex Defender - Centre-Back,11700000,29/06/2009
alex Defender - Centre-Back,14400000,13/08/2010
alex Defender - Centre-Back,14400000,01/02/2011
alex Defender - Centre-Back,11700000,08/08/2011
alex Defender - Centre-Back,8100000,02/02/2012
alex Defender - Centre-Back,7650000,23/05/2012
alex Defender - Centre-Back,7650000,07/01/2013
alex Defender - Centre-Back,7200000,30/05/2013
alex Defender - Centre-Back,6300000,24/06/2013
alex Defender - Centre-Back,4950000,14/01/2014
alex Defender - Centre-Back,4050000,11/09/2014
alex Defender - Centre-Back,3600000,07/01/2015
alex Defender - Centre-Back,1800000,01/07/2015
alex Defender - Centre-Back,1350000,04/01/2016
alex Defender - Centre-Back,900000,15/07/2016
alex Defender - Centre-Back,0,19/12/2016
jamal blackman Goalkeeper,180000,25/07/2013
jamal blackman Goalkeeper,225000,12/08/2014
jamal blackman Goalkeeper,225000,12/02/2015
jamal blackman Goalkeeper,225000,01/07/2015
jamal blackman Goalkeeper,225000,09/02/2016
jamal blackman Goalkeeper,225000,01/08/2016
jamal blackman Goalkeeper,225000,28/06/2017
jamal blackman Goalkeeper,450000,24/09/2018
jamal blackman Goalkeeper,450000,19/12/2018
jamal blackman Goalkeeper,450000,18/12/2019
jamal blackman Goalkeeper,360000,08/04/2020
gary cahill Defender - Centre-Back,45000,06/04/2005
gary cahill Defender - Centre-Back,90000,22/08/2005
gary cahill Defender - Centre-Back,315000,27/05/2006
gary cahill Defender - Centre-Back,292500,30/10/2006
gary cahill Defender - Centre-Back,1710000,09/05/2007
gary cahill Defender - Centre-Back,1800000,01/09/2007
gary cahill Defender - Centre-Back,4050000,31/01/2008
gary cahill Defender - Centre-Back,3600000,04/07/2008
gary cahill Defender - Centre-Back,4140000,23/02/2009
gary cahill Defender - Centre-Back,4680000,26/06/2009
gary cahill Defender - Centre-Back,5850000,24/01/2010
gary cahill Defender - Centre-Back,6750000,13/08/2010
gary cahill Defender - Centre-Back,8550000,01/02/2011
